Currency,Rate
AED,3.976402
AFN,76.332411
ALL,100.412062
AMD,420.638469
ANG,1.950457
AOA,958.576394
ARS,1007.651332
AUD,1.658075
AWG,1.948692
AZN,1.849012
BAM,1.955514
BBD,2.185123
BDT,127.271383
BGN,1.954154
BHD,0.408023
BIF,3115.200599
BMD,1.082607
BND,1.448757
BOB,7.484905
BRL,6.125608
BSD,1.082222
BTC,1.6999902e-05
BTN,90.623744
BWP,14.644413
BYN,3.541173
BYR,21219.090094
BZD,2.181427
CAD,1.49482
CDF,3101.667925
CHF,0.949489
CLF,0.03701
CLP,1021.251408
CNY,7.827674
CNH,7.830499
COP,4388.346005
CRC,567.634591
CUC,1.082607
CUP,28.689076
CVE,110.248873
CZK,25.416032
DJF,192.718037
DKK,7.462889
DOP,64.333858
DZD,145.690674
EGP,52.57108
ERN,16.2391
ETB,81.655587
EUR,1
FJD,2.442248
FKP,0.834214
GBP,0.842447
GEL,2.93929
GGP,0.834214
GHS,16.843536
GIP,0.834214
GMD,75.175238
GNF,9332.069584
GTQ,8.394772
GYD,226.616851
HKD,8.458135
HNL,26.85954
HRK,7.478593
HTG,142.967593
HUF,394.009289
IDR,17565.509214
ILS,4.100259
IMP,0.834214
INR,90.622133
IQD,1418.892446
IRR,45583.152479
ISK,149.702699
JEP,0.834214
JMD,169.381283
JOD,0.76735
JPY,162.05918
KES,139.656451
KGS,90.971663
KHR,4446.808845
KMF,493.370943
KPW,974.346353
KRW,1475.765426
KWD,0.330682
KYD,0.901902
KZT,513.938077
LAK,24033.867928
LBP,97180.990402
LKR,327.3839
LRD,217.168233
LSL,19.746659
LTL,3.196656
LVL,0.654858
LYD,5.234439
MAD,10.745228
MDL,19.155919
MGA,4942.099466
MKD,61.610988
MMK,3516.264129
MNT,3734.993274
MOP,8.716125
MRU,43.094004
MUR,50.492799
MVR,16.62888
MWK,1878.86154
MXN,20.224608
MYR,4.933412
MZN,69.178554
NAD,19.73593
NGN,1798.285226
NIO,39.926206
NOK,11.811314
NPR,144.874693
NZD,1.81873
OMR,0.416766
PAB,1.083142
PEN,4.041009
PGK,4.25461
PHP,63.125705
PKR,302.047545
PLN,4.290846
PYG,8201.830323
QAR,3.955621
RON,4.975551
RSD,117.04605
RUB,93.103801
RWF,1426.334245
SAR,4.061642
SBD,9.137385
SCR,14.743686
SDG,651.185413
SEK,11.595329
SGD,1.446173
SHP,0.834214
SLE,24.734642
SLL,22701.723851
SOS,618.168807
SRD,31.375566
STD,22407.771621
SVC,9.477614
SYP,2720.082055
SZL,19.725364
THB,38.376229
TJS,11.481421
TMT,3.789123
TND,3.371007
TOP,2.576347
TRY,35.92098
TTD,7.340688
TWD,35.40719
TZS,2923.038031
UAH,44.381802
UGX,4030.410436
USD,1.082607
UYU,43.643616
UZS,13584.012945
VEF,3921799.418347
VES,39.613671
VND,27273.567714
VUV,128.529266
WST,3.035205
XAF,655.304265
XAG,0.037494
XAU,0.000443
XCD,2.925799
XDR,0.815887
XOF,653.894824
XPF,119.331742
YER,271.030285
ZAR,19.755065
ZMK,9744.763748
ZMW,28.218892
ZWL,348.598896
